jobtitle_norm,soc_candidates,match_type,match_score
qa,['15-1199.01'],exact,100.0
qa consultant cala,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
qa engineer,"['15-1199.01', '17-2112.00']",exact,100.0
qa technician,"['19-4011.02', '19-4099.01']",exact,100.0
qe lab manager,"['19-4011.02', '29-2012.00', '31-9097.00']",fuzzy,100.0
qualification representative,"['11-1031.00', '21-1029.00', '41-3011.00', '41-3099.00', '43-4199.00']",fuzzy,100.0
quality,['51-9061.00'],exact,100.0
quality and manufacturing technology manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
quality assurance,"['15-1199.01', '19-4011.02', '19-4099.01', '51-9061.00']",exact,100.0
quality assurance analyst,"['15-1199.01', '17-2112.00', '17-3029.05', '19-4011.02', '19-4099.01']",exact,100.0
quality assurance engineer,"['15-1199.01', '17-2112.00', '17-2141.02', '17-2199.02']",exact,100.0
quality assurance project management,['13-2011.02'],fuzzy,100.0
quality assurance representative,"['13-1041.04', '13-1199.00']",exact,100.0
quality assurance specialist,"['13-1041.04', '15-1199.01', '19-4099.01', '51-9061.00']",exact,100.0
quality assurance tester,"['15-1199.01', '51-9061.00']",exact,100.0
quality compliance,['51-9061.00'],fuzzy,100.0
quality compliance specialist,['13-2061.00'],fuzzy,100.0
quality control,"['11-3051.01', '19-1021.00', '19-4011.02', '19-4099.01', '51-2092.00', '51-9061.00', '51-9151.00']",exact,100.0
quality control engineer,"['17-2112.00', '17-2199.02']",exact,100.0
quality engineer,"['15-1199.01', '17-2112.00', '17-2141.02', '17-2199.02', '17-3029.01', '17-3029.05', '27-4014.00', '51-9061.00']",exact,100.0
quality engineer neutrogena complaint vigilance,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
quality manager,"['11-3051.00', '11-3051.01', '17-3029.01']",exact,100.0
quality system specialist,['51-9061.00'],fuzzy,100.0
quoting specialist,"['13-1023.00', '41-9021.00']",fuzzy,100.0
r d engineer,"['15-1111.00', '17-2072.00', '17-2199.07']",exact,100.0
r d placement,['13-1071.00'],fuzzy,100.0
radio disc jockey,['27-3011.00'],exact,100.0
radiology technologist,['29-2034.00'],exact,100.0
real estate accountant,"['13-2011.00', '13-2011.01', '43-3031.00']",fuzzy,100.0
real estate agent,"['11-9141.00', '41-9022.00']",exact,100.0
realtor,"['41-9021.00', '41-9022.00']",exact,100.0
realtor sales,"['41-9021.00', '41-9022.00']",fuzzy,100.0
receptionist,"['43-4171.00', '43-6013.00']",exact,100.0
receptionist dispatcher,"['27-4013.00', '43-5031.00', '43-5032.00', '43-5061.00', '51-1011.00', '51-8031.00', '51-8092.00', '53-2021.00']",fuzzy,100.0
records specialist,['43-4071.00'],exact,100.0
recruiter,['13-1071.00'],exact,100.0
recruiter talent acquisition,['13-1071.00'],fuzzy,100.0
recruiting consultant,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
recruiting operations manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
recruitment,['13-1071.00'],fuzzy,100.0
recruitment office manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
recruitment specialist,"['13-1023.00', '41-9021.00']",fuzzy,100.0
redactora sociedad y sector sanitario,['27-2012.05'],fuzzy,100.0
reg progressive med surg neuroscience rn,['29-1141.00'],fuzzy,100.0
region support leader for the americas,['51-1011.00'],fuzzy,100.0
regional enterprise and b2b partner portfolio anz,['23-1011.00'],fuzzy,100.0
regional executive secretary,['43-6011.00'],fuzzy,100.0
regional field service manager,"['13-1021.00', '43-9061.00']",fuzzy,100.0
regional manager,"['11-2022.00', '11-3031.02', '41-1012.00']",exact,100.0
regional sales manager,"['11-2022.00', '41-1012.00']",exact,100.0
registered architect,"['15-1199.02', '17-1011.00']",fuzzy,100.0
registered nurse,['29-1141.00'],exact,100.0
registered nurse icu,"['29-1141.03', '29-1141.00']",fuzzy,100.0
registered nurse rniii bsn,"['29-1141.00', '29-1141.01', '29-1141.02', '29-1141.03', '31-1014.00']",fuzzy,100.0
registered polysomnography tech,['43-4011.00'],fuzzy,100.0
regulation officer,['13-1041.02'],exact,100.0
regulatory compliance manager,['11-9199.02'],exact,100.0
rehabilitation,"['31-2011.00', '31-2021.00']",exact,100.0
reintegration specialist,"['13-1023.00', '41-9021.00']",fuzzy,100.0
relations,['39-6012.00'],fuzzy,100.0
relationship analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
relationship banker,"['41-3031.02', '43-4141.00']",exact,100.0
relationship officer,"['21-1029.00', '21-1092.00', '33-3021.05', '33-3051.01']",fuzzy,100.0
remote coding specialist,"['13-1023.00', '41-9021.00']",fuzzy,100.0
reporter,"['27-2012.01', '27-3022.00', '43-4199.00']",exact,100.0
research,"['11-9041.01', '11-9121.00', '11-9121.01', '17-2021.00', '17-2112.01', '17-2199.01', '17-3029.00', '17-3029.11', '19-1021.00', '19-1029.01', '19-1042.00', '19-3011.00', '19-3022.00', '19-3041.00', '19-3091.01', '19-3093.00', '19-4011.01', '19-4021.00', '19-4031.00', '19-4041.02', '19-4061.00', '19-4099.00', '19-4099.01', '19-4099.03', '23-2011.00', '25-1191.00', '29-2011.00', '43-9111.00', '43-9111.01']",exact,100.0
research adjustment rep,"['11-9041.01', '11-9121.00', '11-9121.01', '17-2021.00', '17-2112.01', '17-2199.01', '17-3029.00', '17-3029.11', '19-1021.00', '19-1029.01', '19-1042.00', '19-3011.00', '19-3022.00', '19-3041.00', '19-3091.01', '19-3093.00', '19-4011.01', '19-4021.00', '19-4031.00', '19-4041.02', '19-4061.00', '19-4099.00', '19-4099.01', '19-4099.03', '23-2011.00', '25-1191.00', '29-2011.00', '43-9111.00', '43-9111.01']",fuzzy,100.0
research analyst,"['13-2099.01', '15-2099.00', '19-3011.00', '19-4099.03', '23-2011.00', '43-9111.00']",exact,100.0
research analyst house research,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
research and development,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
research and development design engineer,"['27-1025.00', '27-1027.00']",fuzzy,100.0
research and development project specialist,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
research chemist,['19-2031.00'],exact,100.0
research consultant,"['19-2012.00', '19-3032.00']",exact,100.0
research engineer,"['17-2031.00', '17-2131.00', '17-2141.01', '17-2171.00', '17-2199.01', '17-2199.07', '17-2199.08', '17-2199.11']",exact,100.0
research experience for undergraduates,"['11-9041.01', '11-9121.00', '11-9121.01', '17-2021.00', '17-2112.01', '17-2199.01', '17-3029.00', '17-3029.11', '19-1021.00', '19-1029.01', '19-1042.00', '19-3011.00', '19-3022.00', '19-3041.00', '19-3091.01', '19-3093.00', '19-4011.01', '19-4021.00', '19-4031.00', '19-4041.02', '19-4061.00', '19-4099.00', '19-4099.01', '19-4099.03', '23-2011.00', '25-1191.00', '29-2011.00', '43-9111.00', '43-9111.01']",fuzzy,100.0
research fellow,"['17-2199.01', '19-3022.00', '19-3032.00']",exact,100.0
research manager,"['11-9041.00', '11-9121.00']",exact,100.0
research research,['17-2199.09'],fuzzy,100.0
research scientist yale child study center,"['11-9041.01', '11-9121.00', '11-9121.01', '17-2021.00', '17-2112.01', '17-2199.01', '17-3029.00', '17-3029.11', '19-1021.00', '19-1029.01', '19-1042.00', '19-3011.00', '19-3022.00', '19-3041.00', '19-3091.01', '19-3093.00', '19-4011.01', '19-4021.00', '19-4031.00', '19-4041.02', '19-4061.00', '19-4099.00', '19-4099.01', '19-4099.03', '23-2011.00', '25-1191.00', '29-2011.00', '43-9111.00', '43-9111.01']",fuzzy,100.0
research technician and,['19-4051.02'],fuzzy,100.0
researcher,"['15-2041.00', '19-2041.03', '19-3091.01', '19-3093.00']",exact,100.0
researcher phd candidate,"['15-2041.00', '19-2041.03', '19-3091.01', '19-3093.00']",fuzzy,100.0
reservations sales agent,"['13-1011.00', '13-1021.00', '13-2061.00', '33-3021.01', '33-3021.03', '41-1011.00', '41-3011.00', '41-4012.00', '53-4031.00']",fuzzy,100.0
residence advisor,"['13-2052.00', '19-2041.01', '21-1012.00']",fuzzy,100.0
residency anatomical pathology,['31-9099.01'],fuzzy,100.0
resident,"['29-1069.00', '29-1199.00', '31-1011.00', '31-1015.00', '39-9021.00', '39-9041.00']",exact,100.0
resident advisor,['39-9041.00'],exact,100.0
residential manager,['11-9141.00'],exact,100.0
resource management,['55-2013.00'],fuzzy,100.0
resource reimbursement agent,"['13-1011.00', '13-1021.00', '13-2061.00', '33-3021.01', '33-3021.03', '41-1011.00', '41-3011.00', '41-4012.00', '53-4031.00']",fuzzy,100.0
resourcing officer,"['21-1029.00', '21-1092.00', '33-3021.05', '33-3051.01']",fuzzy,100.0
responsable media et communications,['27-3031.00'],fuzzy,100.0
responsable service client grand compte,['43-4011.00'],fuzzy,100.0
responsable support plate forme de services,['39-9021.00'],fuzzy,100.0
responsable systeme d information finance,"['13-2081.00', '43-3031.00', '43-9199.00']",fuzzy,100.0
restaurant crew member,['35-3021.00'],exact,100.0
restaurant manager,"['11-9051.00', '35-1012.00']",exact,100.0
retail,['41-2031.00'],exact,100.0
retail development,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
retail manager,['41-1011.00'],exact,100.0
retail manager of levengood s,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
retail merchandising manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
retail operations manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
retail performance store operations manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
retail sales,['41-2031.00'],exact,100.0
retail sales merchandiser,"['27-1026.00', '41-9011.00']",exact,100.0
retail stock clerk,"['11-9199.00', '23-2099.00', '39-3091.00', '41-2031.00', '43-4031.01', '43-4031.02', '43-4031.03', '43-4071.00', '43-4121.00', '43-4151.00', '43-4161.00', '43-5051.00', '43-5081.01', '43-9061.00']",fuzzy,100.0
retail store manager,['41-1011.00'],exact,100.0
retired from henry schein medical as corporate account manager,"['11-2011.00', '11-2031.00', '11-3031.02', '11-3111.00', '13-1011.00', '13-2052.00', '41-3011.00', '41-3021.00', '41-3099.01', '41-4011.00', '41-4012.00', '41-9031.00', '43-4051.00', '43-5011.01']",fuzzy,100.0
retired human resources professional,"['11-3121.00', '43-3051.00', '43-4071.00', '43-4161.00']",fuzzy,100.0
retirement and leave administrator,"['11-3011.00', '11-3061.00', '11-9031.00', '13-1023.00', '43-3021.02']",fuzzy,100.0
revenue enablement program manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
revenue manager,"['11-1021.00', '11-9081.00']",exact,100.0
rn,['29-1141.00'],exact,100.0
rn manager clinical operations medicaid,"['19-1042.00', '21-1093.00', '29-2099.07', '31-1013.00', '31-1014.00', '31-9092.00']",fuzzy,100.0
rn program manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
roads engineer,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
rvp e pa agency and direct commercial operations manager chicago title insurance company,['41-1012.00'],fuzzy,100.0
safety officer,"['29-9011.00', '33-2011.01', '53-6051.07']",exact,100.0
sailor,['53-5011.00'],exact,100.0
sales,"['13-1199.06', '35-3022.01', '41-1012.00', '41-2011.00', '41-2022.00', '41-2031.00', '41-3021.00', '41-3031.02', '41-3099.00', '41-3099.01', '41-4011.07', '41-4012.00', '41-9099.00', '43-4011.00', '43-4151.00', '43-5081.01', '43-5081.02']",exact,100.0
sales account executive,['41-3099.00'],exact,100.0
sales account manager,['11-2022.00'],exact,100.0
sales advisor,['41-3031.02'],exact,100.0
sales agent,"['41-3021.00', '41-9022.00']",exact,100.0
sales analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
sales and marketing,['41-1012.00'],fuzzy,100.0
sales and product marketing representative,"['11-2011.01', '11-2021.00', '13-1161.00']",fuzzy,100.0
sales cashier,"['39-3091.00', '41-2011.00', '41-2012.00', '43-3071.00', '43-9199.00']",fuzzy,100.0
sales co ordinator,"['29-1199.05', '29-2091.00', '33-3012.00']",fuzzy,100.0
sales consultant,"['41-2031.00', '41-3011.00', '41-3031.02', '41-3099.00', '41-4011.00', '41-4011.07', '41-4012.00', '41-9022.00']",exact,100.0
sales controller,"['11-3031.01', '43-4041.01', '53-2021.00']",fuzzy,100.0
sales controlling marketing global pistons pins,"['11-2011.01', '11-2021.00', '13-1161.00']",fuzzy,100.0
sales desk,"['13-1199.06', '35-3022.01', '41-1012.00', '41-2011.00', '41-2022.00', '41-2031.00', '41-3021.00', '41-3031.02', '41-3099.00', '41-3099.01', '41-4011.07', '41-4012.00', '41-9099.00', '43-4011.00', '43-4151.00', '43-5081.01', '43-5081.02']",fuzzy,100.0
sales director,"['11-2022.00', '41-1012.00', '41-4011.00', '41-4012.00']",exact,100.0
sales engineer,"['41-4011.00', '41-9031.00']",exact,100.0
sales engineer original equipment air spring sales,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
sales engineer trainee,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
sales executive,"['41-3011.00', '41-4011.00', '41-4011.07', '41-4012.00']",exact,100.0
sales financial analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
sales force admin,['43-6014.00'],fuzzy,100.0
sales initiatives manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
sales ledger,"['13-1199.06', '35-3022.01', '41-1012.00', '41-2011.00', '41-2022.00', '41-2031.00', '41-3021.00', '41-3031.02', '41-3099.00', '41-3099.01', '41-4011.07', '41-4012.00', '41-9099.00', '43-4011.00', '43-4151.00', '43-5081.01', '43-5081.02']",fuzzy,100.0
sales management,['43-6011.00'],fuzzy,100.0
sales manager,"['11-2022.00', '41-1012.00', '41-4011.00', '41-4011.07']",exact,100.0
sales manager account director,['11-2011.00'],fuzzy,100.0
sales manager piping division,"['11-2022.00', '11-9039.00', '11-9199.00']",fuzzy,100.0
sales negotiator,"['13-1075.00', '13-1199.00', '23-1022.00']",fuzzy,100.0
sales operations,"['13-1199.00', '33-1021.01', '43-5081.01', '43-6014.00']",fuzzy,100.0
sales operations coordinator,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
sales operations planning manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
sales operations specialist,"['13-1199.00', '33-1021.01', '43-5081.01', '43-6014.00']",fuzzy,100.0
sales operator,"['11-3051.03', '39-3091.00', '43-2011.00', '43-2021.00', '43-2099.00', '43-5032.00', '47-2071.00', '47-2073.00', '47-4061.00', '47-5013.00', '47-5049.00', '47-5071.00', '49-9099.01', '51-3092.00', '51-4021.00', '51-4031.00', '51-4081.00', '51-4122.00', '51-7041.00', '51-8012.00', '51-8013.00', '51-8091.00', '51-8093.00', '51-8099.01', '51-8099.03', '51-8099.04', '51-9011.00', '51-9021.00', '51-9041.00', '51-9198.00', '51-9199.00', '51-9199.01', '53-4011.00', '53-7011.00', '53-7021.00', '53-7032.00', '53-7064.00']",fuzzy,100.0
sales professional,"['41-3031.02', '41-4012.00', '41-9022.00']",exact,100.0
sales project and program director mid market sales,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
sales representative,"['11-2022.00', '41-2031.00', '41-3011.00', '41-3021.00', '41-3031.02', '41-3099.00', '41-4011.00', '41-4011.07', '41-4012.00', '41-9022.00', '41-9091.00']",exact,100.0
sales service representative,['41-3099.00'],fuzzy,100.0
sales specialist,"['41-2022.00', '41-3011.00', '41-3021.00', '41-3031.01', '41-3099.00', '41-3099.01', '41-4011.00', '41-4011.07', '41-4012.00', '41-9022.00', '41-9031.00', '41-9041.00', '41-9099.00', '43-4141.00', '53-3031.00']",exact,100.0
sales supervisor,"['11-2022.00', '41-1011.00', '41-1012.00']",exact,100.0
sales support,['41-2031.00'],exact,100.0
sales team manager,['41-1012.00'],exact,100.0
salesforce admin support,['43-6014.00'],fuzzy,100.0
salesforce developer,"['11-9021.00', '11-9141.00', '15-1132.00', '15-1133.00', '51-4062.00', '51-9151.00']",fuzzy,100.0
salesforce marketing cloud technology,"['11-2011.01', '11-2021.00', '13-1161.00']",fuzzy,100.0
sanofi it transformation dc consolidation program bid manager,['29-1011.00'],fuzzy,100.0
sanofi production stabilization project it advisor,"['13-2052.00', '19-2041.01', '21-1012.00']",fuzzy,100.0
sap basis consultant,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
sap consultant,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
sap crm business analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
sap fico consultant,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
sap fs cd functional consultant,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
sap positions organisation management,['43-6011.00'],fuzzy,100.0
sap specialist,"['13-1023.00', '41-9021.00']",fuzzy,100.0
sas developer,"['11-9021.00', '11-9141.00', '15-1132.00', '15-1133.00', '51-4062.00', '51-9151.00']",fuzzy,100.0
school social worker,['21-1021.00'],exact,100.0
science and mathematics teacher,"['25-2021.00', '25-2022.00', '25-2031.00']",fuzzy,100.0
scientific aide,['19-4099.00'],exact,100.0
scribe,"['21-1019.00', '21-1029.00', '21-2099.00']",fuzzy,100.0
seasonal,"['45-4011.00', '51-9198.00']",fuzzy,100.0
seasonal customer service representative,"['41-2011.00', '41-2031.00']",fuzzy,100.0
sec reporting manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
secretary executive officer,['43-6011.00'],fuzzy,100.0
security analyst,"['13-1199.02', '15-1122.00', '33-9021.00']",exact,100.0
security force training instructor,"['13-1151.00', '25-1011.00', '25-1021.00', '25-1022.00', '25-1031.00', '25-1032.00', '25-1041.00', '25-1042.00', '25-1043.00', '25-1051.00', '25-1052.00', '25-1053.00', '25-1054.00', '25-1061.00', '25-1063.00', '25-1064.00', '25-1065.00', '25-1066.00', '25-1067.00', '25-1071.00', '25-1072.00', '25-1081.00', '25-1082.00', '25-1111.00', '25-1112.00', '25-1113.00', '25-1121.00', '25-1122.00', '25-1123.00', '25-1124.00', '25-1125.00', '25-1126.00', '25-1191.00', '25-1192.00', '25-1193.00', '25-1194.00', '25-1199.00', '25-2012.00', '25-2032.00', '25-3011.00', '25-3021.00']",fuzzy,100.0
security officer,"['11-9199.07', '33-3011.00', '33-3012.00', '33-9031.00', '33-9032.00', '33-9093.00']",exact,100.0
security operations engineer,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
self care and posture transformation coach specialize in body renovation,"['21-1015.00', '27-2022.00']",fuzzy,100.0
selling manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
sergeant first class,['29-2099.07'],fuzzy,100.0
series 7 and 63 proctor,"['19-3022.00', '25-1191.00', '25-9041.00']",fuzzy,100.0
server,"['35-3021.00', '35-3022.00', '35-3031.00', '35-3041.00', '35-9011.00']",exact,100.0
service des ressources humaines,"['35-9011.00', '43-2021.00', '43-9199.00']",fuzzy,100.0
service engineer,"['17-2011.00', '17-2071.00', '17-2199.00', '49-2022.00']",exact,100.0
service manager,"['37-1012.00', '49-1011.00', '53-1031.00']",exact,100.0
service representative,"['39-3091.00', '41-3099.00', '41-9099.00', '43-4051.00', '49-9099.00']",exact,100.0
service team leader,['51-1011.00'],fuzzy,100.0
set project,"['43-6011.00', '43-9022.00']",fuzzy,100.0
shared services program administrator,"['11-3011.00', '11-3061.00', '11-9031.00', '13-1023.00', '43-3021.02']",fuzzy,100.0
shareholder services team leader,['51-1011.00'],fuzzy,100.0
shift,['51-1011.00'],fuzzy,100.0
shift at prince street cafe york,"['11-9021.00', '47-1011.00']",fuzzy,100.0
shift leader,['51-1011.00'],exact,100.0
shift manager,"['11-9199.00', '35-9011.00', '41-1011.00']",exact,100.0
shift supervisor,"['33-1011.00', '33-1012.00', '39-1011.00', '41-1011.00', '51-1011.00']",exact,100.0
shipping clerk,"['43-5071.00', '53-7064.00']",exact,100.0
shipping receiving coordinator,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
shipping receiving specialist,"['43-5071.00', '43-5081.03', '53-1021.00', '53-7062.00']",fuzzy,100.0
shop,"['47-2211.00', '49-9041.00']",exact,100.0
shop technician,"['49-3021.00', '49-3023.02', '49-3042.00', '49-3091.00']",exact,100.0
shopper customer marketing,"['41-2011.00', '41-2031.00']",fuzzy,100.0
si developer,"['11-9021.00', '11-9141.00', '15-1132.00', '15-1133.00', '51-4062.00', '51-9151.00']",fuzzy,100.0
siebel 7 crm consultant,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
siebel 8 technical consultant,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
siebel crm consultant,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
site administrator,['11-9032.00'],exact,100.0
site foreman at new south access and environmental,['37-2012.00'],fuzzy,100.0
site manager,"['11-3051.02', '11-9021.00', '11-9199.09']",exact,100.0
ski patroller,['33-9092.00'],exact,100.0
small business segment planner,['13-1199.00'],fuzzy,100.0
smap product delivery manager,['11-3071.02'],fuzzy,100.0
sme operations,"['13-1199.00', '33-1021.01', '43-5081.01', '43-6014.00']",fuzzy,100.0
snac peer educator,"['21-1091.00', '25-2012.00', '25-2021.00', '25-2022.00', '25-2031.00', '25-3021.00']",fuzzy,100.0
soc analyst,"['13-1199.02', '15-2031.00', '15-1122.00']",exact,100.0
social media,['43-4121.00'],fuzzy,100.0
social media promotions specialist,['43-4121.00'],fuzzy,100.0
societe generale retail france core banking system convergence program director,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
societe generale retail france mainframe transformation program program director,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
software configuration analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
software developer,"['15-1132.00', '15-1133.00']",exact,100.0
software development advisor,"['13-2052.00', '19-2041.01', '21-1012.00']",fuzzy,100.0
software development engineer,"['15-1132.00', '15-1133.00', '15-1199.01', '15-1199.02']",exact,100.0
software engineer,"['15-1132.00', '15-1133.00']",exact,100.0
software engineer deployment,['17-2072.01'],fuzzy,100.0
software engineer in test,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
